source	translated	reference
A dog with a snub nose smells for something on a riverbank.	Một con chó với cái mũi run rẩy để làm gì đó trên bờ sông.	Một con chó có chiếc mũi hếch đang đánh hơi thứ gì đó trên bờ sông.
A man prepares his local stand for the days business.	Một người đàn ông chuẩn bị vị trí địa phương cho công việc thường ngày.	Một người đàn ông đang chuẩn bị gian hàng địa phương cho ngày kinh doanh.
A man in a red shirt is about to eat a taco.	Một người đàn ông mặc áo sơ mi màu đỏ sắp ăn thịt một con cá sấu.	Một người đàn ông mặc áo sơ mi đỏ sắp ăn một chiếc bánh taco.
A young lady in white holding a tennis racket	Một cô gái trẻ mặc áo trắng cầm vợt	Một cô gái trẻ mặc đồ trắng đang cầm vợt tennis
A boy wearing a red shirt digs into the sand with a yellow shovel.	Một cậu bé đội một chiếc áo sơ mi đỏ đào vào cát với một cái xẻng.	Một cậu bé mặc áo sơ mi đỏ đang đào cát bằng một chiếc xẻng màu vàng.
An individual wearing rose jacket site idle on a wooden bench.	Một người mặc áo hồng trang trí trên một chiếc ghế dài.	Một người mặc áo khoác màu hồng đang ngồi nhàn rỗi trên một chiếc ghế gỗ.
A man wearing a white shirt is looking out a window of a metal construction.	Một người mặc áo sơ mi trắng đang nhìn ra ngoài cửa sổ của một công trình xây dựng.	Một người đàn ông mặc áo sơ mi trắng đang nhìn ra cửa sổ của một công trình bằng kim loại.
A woman is holding a small white statue.	Một người phụ nữ đang nắm giữ một khối trắng nhỏ.	Một người phụ nữ đang cầm một bức tượng nhỏ màu trắng.
Six shirtless children are playing in natural water and splashing around.	Những đứa trẻ không mặc áo sơ mi đang chơi đùa trong nước tự nhiên và lượn lờ xung quanh.	Sáu đứa trẻ cởi trần đang chơi đùa trong làn nước tự nhiên và té nước.
Two people riding bikes through a mountainous region.	Hai người chạy xuyên qua một dãy núi.	Hai người đạp xe qua một vùng núi.
A girl jumping rope on a sidewalk near a parking garage.	Một cô gái nhảy trên một vỉa hè gần bãi đậu xe.	Một cô gái đang nhảy dây trên vỉa hè gần bãi đỗ xe.
A man wearing an orange shirt and helmet.	Một người đàn ông đội một chiếc áo sơ mi màu cam và đội mũ bảo hiểm.	Một người đàn ông mặc áo sơ mi màu cam và đội mũ bảo hiểm.
A small boy plays with plastic blocks, cars, and animals with an adult watching closely.	Một cậu bé chơi với những khối nhựa, xe hơi và động vật với một người lớn quan sát chặt chẽ.	Một cậu bé đang chơi với những khối nhựa, ô tô và động vật trong khi người lớn đang quan sát chặt chẽ.
A little girl opening a Christmas present.	Một bé gái đang mở một món quà Giáng sinh.	Một bé gái đang mở quà Giáng sinh.
The woman in blue is operating a camera in front of two other women.	Người phụ nữ màu xanh đang quay phim trước mặt hai người phụ nữ khác.	Người phụ nữ mặc áo xanh đang sử dụng máy quay trước mặt hai người phụ nữ khác.
A little girl tries taking a nap on the comfy sofa.	Một cô bé đang ngủ trên giường.	Một bé gái đang cố ngủ trưa trên chiếc ghế sofa thoải mái.
A brown and black dog running on a trail in the woods.	Một con chó màu nâu đen chạy trên một con đường mòn trong rừng.	Một con chó nâu và đen đang chạy trên đường mòn trong rừng.
Two dogs play by a tree.	Hai con chó chơi bởi một cái cây.	Hai con chó đang chơi đùa dưới một cái cây.
A navy walking wearing a black coat and pants on the stairs as camera focuses on the dog	♪ Một hải du du du du du du du du du du du du dương	Một người lính hải quân mặc áo khoác và quần đen đang đi trên cầu thang khi máy quay tập trung vào con chó
Two men dressed in green are preparing food in a restaurant.	Có hai người đàn ông mặc đồ xanh đang chuẩn bị thức ăn trong nhà hàng.	Hai người đàn ông mặc đồ xanh đang chuẩn bị đồ ăn trong một nhà hàng.
A man dressed in black leather and a cowboy hat is walking around a Renaissance Festival.	Một chàng cao bồi mặc đồ da đen và một cái nón đang đi dạo quanh một buổi lễ hội.	Một người đàn ông mặc đồ da đen và đội mũ cao bồi đang đi dạo quanh Lễ hội Phục hưng.
A dog runs outside with a yellow toy.	Một con chó ở bên ngoài với một món đồ chơi màu vàng.	Một con chó chạy ra ngoài với một món đồ chơi màu vàng.
A dog wearing a cover runs in the snow.	Một con chó đội khăn trùm đầu trong tuyết tuyết.	Một chú chó mặc áo choàng chạy trong tuyết.
A family is playing on the beach with their dog.	Một gia đình đang chơi đùa trên bãi biển với con chó của họ.	Một gia đình đang chơi đùa trên bãi biển với chú chó của họ.
A woman and a child embrace while the child tastes what they have been making.	Một người đàn bà và một đứa trẻ ôm ấp trong khi đứa trẻ nếm thử những gì chúng đã làm.	Một người phụ nữ và một đứa trẻ ôm nhau trong khi đứa trẻ nếm thử những gì họ đã làm.
Two men and a lady are standing outside.	Hai người đàn ông và một quý bà đang đứng ngoài.	Hai người đàn ông và một người phụ nữ đang đứng bên ngoài.
A group of men using logs to push a boat out of the water.	Một nhóm người sử dụng gỗ để đẩy một chiếc thuyền ra khỏi mặt nước.	Một nhóm đàn ông dùng khúc gỗ để đẩy thuyền ra khỏi mặt nước.
A man drinks from a wineglass while reading the paper.	Một người uống rượu trong khi đang đọc báo.	Một người đàn ông uống rượu từ ly thủy tinh trong khi đọc báo.
A man wearing a all black and playing a piano.	Một người đàn ông mặc đồ đen và chơi đàn piano.	Một người đàn ông mặc đồ đen và đang chơi đàn piano.
A young boy wearing a blue jersey and yellow shorts is playing soccer.	Một cậu bé mặc áo lót màu xanh và quần vàng đang chơi bóng đá.	Một cậu bé mặc áo xanh và quần đùi vàng đang chơi bóng đá.
A man is standing on a stone structure with his arms out like a bird.	Một người đàn ông đang đứng trên một tảng đá với cánh tay giơ ra như một con chim.	Một người đàn ông đang đứng trên một cấu trúc đá với hai cánh tay dang rộng như một chú chim.
A dog drinks water outside on the grass.	Một con chó uống nước ngoài bãi cỏ.	Một con chó đang uống nước trên bãi cỏ bên ngoài.
Two women wearing tank tops are looking at the camera.	2 phụ nữ mặc áo cao su đang nhìn vào camera.	Hai người phụ nữ mặc áo ba lỗ đang nhìn vào máy ảnh.
A man is sitting in a barber's chair getting ready for a shave.	Một người đàn ông ngồi trên ghế thợ cạo chuẩn bị sẵn sàng để cạo râu.	Một người đàn ông đang ngồi trên ghế cắt tóc, chuẩn bị cạo râu.
A young child wearing green boots playing in a mud puddle	♪ Một em bé gái mới nhỏ đang mặc một đôi giày xanh ♪ Trong một tình yêu ♪	Một đứa trẻ đi ủng xanh đang chơi trong vũng bùn
A man using a chainsaw to cut lumber.	Một người đàn ông dùng máy cưa để cắt.	Một người đàn ông đang sử dụng cưa máy để cắt gỗ.
A man sitting at a picnic table with a tray and partially consumed beer in front of him.	Một người đàn ông ngồi tại một bàn ăn với một khay và một phần bia trước mặt anh ta.	Một người đàn ông đang ngồi ở bàn ăn ngoài trời với một chiếc khay và đang uống một nửa bia trước mặt.
The boy wearing a black shirt and blue jeans is holding a red baseball bat.	Thằng bé mặc áo sơ mi đen và quần xanh đang đeo một cây bóng chày màu đỏ.	Cậu bé mặc áo sơ mi đen và quần jean xanh đang cầm một cây gậy bóng chày màu đỏ.
A dark-haired bearded man in glasses and a Hawaiian shirt is sitting on the grass.	Một người đàn ông có mái tóc đen đeo kính và áo sơ mi đang ngồi trên cỏ.	Một người đàn ông tóc đen, râu quai nón, đeo kính và mặc áo sơ mi Hawaii đang ngồi trên bãi cỏ.
Dogs run at a dog racetrack.	Chó chạy đua với chó đua.	Những chú chó chạy ở trường đua chó.
A light technician man with tribal tattoos aiming a spotlight over a balcony.	Một người đàn ông ánh sáng với âm đạo trên ban công.	Một kỹ thuật viên ánh sáng có hình xăm bộ lạc đang chiếu đèn rọi vào ban công.
Two German sheperds snarling at each other.	Hai cô gái Đức đang nói chuyện với nhau.	Hai con chó chăn cừu Đức đang gầm gừ với nhau.
This is a group of people standing around at some sort of event.	Đây là một nhóm người đang đứng xung quanh tại một sự kiện nào đó.	Đây là hình ảnh một nhóm người đang đứng xung quanh tại một sự kiện nào đó.
A brown and white dog fetching a toy.	Một con chó màu trắng màu nâu đang đi lấy một món đồ chơi.	Một chú chó nâu và trắng đang nhặt đồ chơi.
Man with white hair playing an accordion in the middle of some buildings.	Người đàn ông với mái tóc trắng đang chơi trò thắt lưng ở giữa một số tòa nhà.	Người đàn ông tóc trắng đang chơi đàn accordion giữa một tòa nhà.
